epoch,train_reconstruction,train_sparsity,train_total,validation_reconstruction,validation_sparsity,validation_total
1,0.07907071307643748,23.803783523344393,0.10287449659978187,0.02626921915408556,13.852037025755678,0.04012125617984124
2,0.02587999013869676,10.045991101910783,0.035925981240607543,0.02590226729663771,7.31790254444506,0.03322016984108277
3,0.025743030027135294,5.836661237863819,0.03157969126499911,0.025849936593896523,4.626549736869856,0.030476486330766377
4,0.025623387444441235,3.83282017339422,0.029456207617835455,0.025616905702387584,3.133690653553045,0.02875059635594063
5,0.025177973157561675,2.630364749375031,0.027808337906936705,0.024643656137828807,2.1883606451964694,0.026832016783025277
6,0.021982381241206262,1.9679842665014715,0.023950365507707735,0.01932707291301446,1.8104082461688278,0.021137481159183288
7,0.01825369177688673,1.6341782329768144,0.019887870009863546,0.01750110567464322,1.4778832359151097,0.01897898891055833
8,0.016419048006253167,1.383200782608911,0.01780224878886208,0.015228676739337888,1.293148361799613,0.0165218251011375
9,0.013646427773374138,1.2300447097541054,0.014876472483128244,0.012176614572104965,1.1557296276183011,0.013332344199723265
10,0.011369120600027836,1.0735950923038133,0.01244271569233165,0.010639005375909397,0.9719701087814129,0.01161097548469081
11,0.010108070987556988,0.906543574821654,0.011014614562378643,0.00958967870111936,0.8499835339578777,0.010439662235077238
12,0.009135866135045122,0.800270351805786,0.009936136486850908,0.00877839481991767,0.7514891573600118,0.009529883977277682
13,0.00838503165622601,0.7104068674031155,0.009095438523629125,0.008169329622707399,0.6636901179527196,0.00883301974066012
14,0.00782542860081842,0.6241317091409146,0.008449560309959334,0.007735378351734078,0.5745855223295585,0.008309963874063636
15,0.007380154833532034,0.5507152776797559,0.00793087011121179,0.0072978340514866635,0.5093794631279397,0.007807213514614603
16,0.007044310302197408,0.479073614751689,0.007523383916949097,0.0070318269926835505,0.4424940705141035,0.007474321063197654
17,0.0068179461385726526,0.4133300084702332,0.007231276147042886,0.006842268334747605,0.3829869557874705,0.007225255290535075
18,0.006648725824974191,0.3579190312779696,0.0070066448562521606,0.0067077016946373675,0.333719528099165,0.007041421222736532
19,0.0065168861959651455,0.3099032885231648,0.00682678948448831,0.006580540050047342,0.2844121072912126,0.006864952157338555
20,0.006404634882241211,0.26667239803491405,0.006671307280276125,0.006482434384030002,0.2454234319144906,0.006727857815944493
21,0.006295939250850778,0.23331007792830974,0.006529249328779088,0.006358687274928507,0.21667689497602055,0.006575364169904527
22,0.006175586272305129,0.20556323729234066,0.00638114950959747,0.006232751191715644,0.19113666316815978,0.006423887854883804
23,0.0060489353894407185,0.18121278119084117,0.00623014817063156,0.006117709360069523,0.17007640611514646,0.006287785766184669
24,0.00594248280101971,0.16083964558663605,0.006103322446606346,0.006016100167210233,0.14935184697159326,0.006165452014181827
25,0.00584271329192212,0.14169149766692563,0.005984404789589046,0.0059361695627234805,0.12807521832283353,0.006064244781046314
26,0.0057520266042040405,0.1254738794974147,0.0058775004837014555,0.005839497399829201,0.12020794788280068,0.005959705347712002
27,0.0056531106039538264,0.11239417213735416,0.00576550477609118,0.005705821945330224,0.10354645933948839,0.005809368404669712
28,0.0055570862525263776,0.10039999972335054,0.005657486252249728,0.005645810691197977,0.09272250415421528,0.0057385331953521915
29,0.005484170485002817,0.08935886662290358,0.0055735293516257205,0.005572111725425472,0.0821902564145356,0.005654301981840007
