epoch,train_reconstruction,train_sparsity,train_total,validation_reconstruction,validation_sparsity,validation_total
30,0.005419473512667854,0.08188607069327854,0.005501359583361132,0.005524152705597866,0.07599666980796792,0.005600149375405834
31,0.005362712339510236,0.07513764535531406,0.00543784998486555,0.005456907371769481,0.06842998106237606,0.0055253373528318574
32,0.005310086736950026,0.06838815016543104,0.005378474887115457,0.0054098261161521785,0.06438035329050991,0.005474206469442688
33,0.005262521858274996,0.06326262970863672,0.005325784487983633,0.005357912109468479,0.057636893864374684,0.0054155490033328535
34,0.005218863951200774,0.05803017452546067,0.005276894125726235,0.0053246497972894895,0.053145583250490944,0.00537779538053998
35,0.005179143210166832,0.05373371140738571,0.005232876921574217,0.005285993450209922,0.049532210322722536,0.005335525660532645
36,0.005144419444468035,0.0497743245018207,0.005194193768969856,0.005249310499675699,0.045492564322995956,0.005294803063998695
37,0.005111726748893503,0.04640121604151806,0.005158127964935021,0.005220404750609194,0.044002034897143744,0.005264406785506338
38,0.005081433498289811,0.04385603680549638,0.005125289535095307,0.005189555419478176,0.038746539520583975,0.00522830195899876
39,0.0050527527674621075,0.04054641736708684,0.005093299184829194,0.005166698172370385,0.035996389952850524,0.005202694562323236
40,0.005033461233920206,0.03797476036363134,0.005071435994283837,0.005134930834845698,0.033806302277989815,0.005168737137123688
41,0.005004062180660425,0.03532930075360272,0.005039391481414027,0.005139686492089698,0.030631309901514362,0.005170317801991213
42,0.00498319834106618,0.03293245917766042,0.0050161308002438405,0.005126660001239752,0.03065878506403494,0.005157318786303787
43,0.004962602991480067,0.03183264882977548,0.004994435640309843,0.0050786420202105385,0.02935782622270272,0.005107999846433241
44,0.0049437761788291654,0.02969701741683231,0.004973473196245998,0.005049943564074428,0.026831809200869566,0.005076775373275297
45,0.004925568473096093,0.02758405163812179,0.004953152524734214,0.005047087447374946,0.024685777020154686,0.0050717732243951005
46,0.004914867189936394,0.026124442699665934,0.0049409916326360595,0.00502883440434961,0.023367109876090707,0.0050522015142257
47,0.00489453001552274,0.024824198162841593,0.004919354213685581,0.005005568024124491,0.022014246861073956,0.005027582270985565
48,0.004880137798908975,0.023545893881406887,0.004903683692790382,0.004987159157224862,0.021048993278839103,0.005008208150503702
49,0.004863741721825406,0.022153724611059515,0.004885895446436465,0.004974418829956871,0.01930512988717212,0.004993723959844043
50,0.0048481217466500295,0.020473387272160293,0.00486859513392219,0.004992969549725812,0.017509532658492817,0.005010479082384304
