epoch,train_loss,validation_loss,is_best
1,0.06346030533313751,0.01899896189570427,
2,0.014294587075710297,0.010905199684202671,
3,0.008806345984339714,0.007978574372828007,
4,0.00737868482246995,0.007326822727918625,
5,0.006970311515033245,0.007041917182505131,
6,0.006695732939988375,0.006770342588424683,
7,0.00647076265886426,0.006554691586643457,
8,0.006278196815401316,0.006368815433233976,
9,0.006106563378125429,0.006199997384101152,
10,0.005924128461629152,0.00603293813765049,
11,0.005763090681284666,0.005901871249079704,
12,0.005675346590578556,0.005825536325573921,
13,0.005624429788440466,0.005758957006037235,
14,0.005574371200054884,0.005727880168706179,
15,0.005535506643354893,0.005688983481377363,
16,0.005499258171766996,0.005650368984788656,
17,0.0054696910083293915,0.005624451674520969,
18,0.005449463147670031,0.0056042782962322235,
19,0.005431987810879946,0.005587609950453043,
20,0.005412658676505089,0.005562400911003351,
21,0.005398598965257406,0.0055483062751591206,
22,0.005383595824241638,0.005534927826374769,
23,0.0053679561242461205,0.005531440954655409,
24,0.005355083849281073,0.005517725832760334,
25,0.005340574309229851,0.00551065756008029,
26,0.005331452004611492,0.005502050276845694,
27,0.005321444943547249,0.0054939198307693005,
28,0.0053137438371777534,0.005488953553140163,
29,0.005308604333549738,0.005480335559695959,
30,0.005301532335579395,0.0054743122309446335,
31,0.005295261275023222,0.005463985726237297,
32,0.00528812687844038,0.005459133069962263,
33,0.00528470054268837,0.0054444558918476105,
34,0.005278632044792175,0.005440035834908485,
35,0.005279505159705877,0.005439281929284334,
36,0.005269499029964209,0.005473990458995104,
37,0.005260147154331207,0.005446700379252434,
38,0.005254887044429779,0.005439297296106815,
39,0.005247370805591345,0.0054365042597055435,
40,0.005242104642093182,0.0054328483529388905,
41,0.005237164441496134,0.005427306517958641,
42,0.005230676848441362,0.005421170964837074,
43,0.005094584077596664,0.004734273999929428,
44,0.004554123152047396,0.004692595452070236,
45,0.004539969377219677,0.004675253760069609,
46,0.004529714118689299,0.004672036040574312,
47,0.004526740405708551,0.004663395695388317,
48,0.0045220511965453625,0.004657218232750893,
49,0.004518815781921148,0.00465301563963294,
50,0.0045150755904614925,0.004646094981580973,
