threshold_key,method,percentile,threshold,is_primary,precision,recall,f1,accuracy,false_positive_rate,specificity,true_normal_pred_normal,true_normal_pred_anomaly,true_anomaly_pred_normal,true_anomaly_pred_anomaly,recall_DoS,recall_Probe,recall_R2L,recall_U2R
p90,percentile,90.0,0.013408895581960678,False,0.9774550555070902,0.9894720437741338,0.9834268406016591,0.9728449369765672,0.10003795066413662,0.8999620493358633,11857,1318,608,57143,0.9897198145535174,0.9938938468764679,0.9669669669669669,0.9807692307692307
p95,percentile,95.0,0.020548298954963684,True,0.9885643882207993,0.9864417932157019,0.9875019501118064,0.9796689507373882,0.05001897533206831,0.9499810246679317,12516,659,783,56968,0.9870077513697751,0.9882573978393612,0.9519519519519519,0.9807692307692307
p97_5,percentile,97.5,0.030259080231189728,False,0.9941873778028288,0.9773510415404062,0.9856973210855366,0.9769055071482954,0.025047438330170778,0.9749525616698292,12845,330,1308,56443,0.9841490901761009,0.9666510098637858,0.6316316316316316,0.9230769230769231
p99,percentile,99.0,0.044722817838191986,False,0.9976138397295685,0.9556025003896036,0.9761563633147607,0.961988551447988,0.010018975332068311,0.9899810246679317,13043,132,2564,55187,0.9705887742573894,0.9408172851103804,0.1831831831831832,0.6730769230769231
