threshold_key,method,percentile,threshold,is_primary,precision,recall,f1,accuracy,false_positive_rate,specificity,true_normal_pred_normal,true_normal_pred_anomaly,true_anomaly_pred_normal,true_anomaly_pred_anomaly,recall_DoS,recall_Probe,recall_R2L,recall_U2R
p90,percentile,90.0,0.014444290660321712,False,0.9773865898016608,0.9864071617807484,0.981876158055759,0.9703493782251924,0.10003795066413662,0.8999620493358633,11857,1318,785,56966,0.986274761320115,0.9887271019257867,0.990990990990991,0.9423076923076923
p95,percentile,95.0,0.016630049794912338,True,0.9884517655305354,0.9767103599937663,0.9825459866220736,0.9717451992217241,0.05001897533206831,0.9499810246679317,12516,659,1345,56406,0.9849737039819685,0.9844997651479568,0.5105105105105106,0.9423076923076923
p97_5,percentile,97.5,0.024277353659272194,False,0.9941697143160014,0.9743727381344046,0.9841716804253533,0.9744804444068466,0.025047438330170778,0.9749525616698292,12845,330,1480,56271,0.9841857396785839,0.9704086425551902,0.46546546546546547,0.6153846153846154
p99,percentile,99.0,0.03052445873618126,False,0.9976321595780939,0.9630136274696542,0.980017269026767,0.9680230098976398,0.010018975332068311,0.9899810246679317,13043,132,2136,55615,0.9748584412966594,0.9328323156411461,0.3993993993993994,0.5961538461538461
