threshold_key,method,percentile,threshold,is_primary,precision,recall,f1,accuracy,false_positive_rate,specificity,true_normal_pred_normal,true_normal_pred_anomaly,true_anomaly_pred_normal,true_anomaly_pred_anomaly,recall_DoS,recall_Probe,recall_R2L,recall_U2R
p90,percentile,90.0,0.014111309312283993,False,0.9773986109920261,0.9869439490225278,0.9821480881567384,0.9707864534867326,0.10003795066413662,0.8999620493358633,11857,1318,754,56997,0.9865679573399792,0.9929544387036168,0.995995995995996,0.9615384615384616
p95,percentile,95.0,0.016386058181524277,True,0.9885472967101718,0.9849526415127011,0.9867466953474656,0.9784564193666638,0.05001897533206831,0.9499810246679317,12516,659,869,56882,0.9850836524894174,0.9910756223579145,0.9669669669669669,0.9423076923076923
p97_5,percentile,97.5,0.02252170257270336,False,0.9942245090832721,0.9836712784194213,0.9889197399228821,0.9820517158728816,0.025047438330170778,0.9749525616698292,12845,330,943,56808,0.9842590386835499,0.9854391733208079,0.953953953953954,0.8653846153846154
p99,percentile,99.0,0.033351778984069824,False,0.9976589933671479,0.9740783709372998,0.9857276781411812,0.9770323999661619,0.010018975332068311,0.9899810246679317,13043,132,1497,56254,0.9836176723900973,0.9699389384687647,0.47047047047047047,0.8076923076923077
