threshold_key,method,percentile,threshold,is_primary,precision,recall,f1,accuracy,false_positive_rate,specificity,true_normal_pred_normal,true_normal_pred_anomaly,true_anomaly_pred_normal,true_anomaly_pred_anomaly,recall_DoS,recall_Probe,recall_R2L,recall_U2R
p90,percentile,90.0,0.004148309584707022,False,0.9776120670618811,0.9965714879396028,0.9870007374251857,0.9786256097904859,0.10003795066413662,0.8999620493358633,11857,1318,198,57553,0.9971230140550842,0.9971817754814467,0.964964964964965,1.0
p95,percentile,95.0,0.013254714198410511,True,0.988566372295574,0.9866149503904694,0.9875896973688771,0.97980994275724,0.05001897533206831,0.9499810246679317,12516,659,773,56978,0.9875574939070202,0.9812118365429779,0.948948948948949,0.9423076923076923
p97_5,percentile,97.5,0.01581314019858837,False,0.9942300631196126,0.9846236428806427,0.9894035356347439,0.9828271719820658,0.025047438330170778,0.9749525616698292,12845,330,888,56863,0.9857066940316285,0.9783936120244247,0.9419419419419419,0.9230769230769231
p99,percentile,99.0,0.02565603516995907,False,0.9976586196498572,0.973922529480009,0.9856476938174681,0.9769055071482954,0.010018975332068311,0.9899810246679317,13043,132,1506,56245,0.9840574664198933,0.9610145608266792,0.46346346346346345,0.6730769230769231
