rho,beta,threshold,precision,recall,f1,accuracy,false_positive_rate,specificity,best_validation_reconstruction,final_validation_sparsity,recall_DoS,recall_Probe,recall_R2L,recall_U2R
0.01,0.001,0.01977529376745224,0.988555848846902,0.9856972173642015,0.9871244635193133,0.9790626850520261,0.05001897533206831,0.9499810246679317,0.00446040774128299,1.0301220590928022,0.9859632405490095,0.9962423673085956,0.948948948948949,0.9807692307692307
0.025,0.001,0.020535016432404518,0.9885516738182513,0.9853335872971897,0.9869400072844581,0.9787666018103376,0.05001897533206831,0.9499810246679317,0.00454679675997576,0.5980292910959508,0.9873192721408807,0.9896665100986378,0.8678678678678678,0.9807692307692307
0.05,0.001,0.019999181851744652,0.9884955134248106,0.9804678706862219,0.98446532734085,0.9748047260525055,0.05001897533206831,0.9499810246679317,0.004505062507398328,0.13275597508424147,0.9872459731359147,0.9887271019257867,0.5925925925925926,0.9807692307692307
0.1,0.001,0.020548298954963684,0.9885643882207993,0.9864417932157019,0.9875019501118064,0.9796689507373882,0.05001897533206831,0.9499810246679317,0.004974418829956871,0.017509532658492817,0.9870077513697751,0.9882573978393612,0.9519519519519519,0.9807692307692307
0.2,0.001,0.022740932181477547,0.9884517655305354,0.9767103599937663,0.9825459866220736,0.9717451992217241,0.05001897533206831,0.9499810246679317,0.0055593348006086965,0.019247592511592148,0.9857066940316285,0.9816815406294035,0.4744744744744745,0.9807692307692307
