name,hidden_dims,latent_dim,batch_size,learning_rate,weight_decay,max_epochs,patience,best_epoch,epochs_trained,validation_loss,threshold,precision,recall,f1,accuracy,normal_error_mean,anomaly_error_mean
basic_width_latent8_lr0p001,48-24,8,512,0.001,1e-05,45,8,45,45,0.0024299777427819014,0.014428069815039635,0.9884523726081166,0.9767623071461966,0.9825725707417762,0.9717874968276795,0.002446366474032402,0.1108187809586525
basic_width_latent8_lr0p0005,48-24,8,512,0.0005,1e-05,45,8,45,45,0.0023298278041325327,0.013911599293351173,0.9885381337507609,0.9841561185087704,0.9863422591673464,0.9778078560753461,0.002347752917557955,0.1171044334769249
basic_width_latent12_lr0p001,48-24,12,512,0.001,1e-05,45,8,45,45,0.0011986541600307657,0.004894860554486513,0.9885019366995847,0.981021973645478,0.9847477512710208,0.9752559005160308,0.0012198443291708827,0.11168264597654343
basic_width_latent12_lr0p0005,48-24,12,512,0.0005,1e-05,45,8,45,45,0.002260567060153953,0.014028230682015419,0.9885369375010872,0.9840522242039099,0.9862894828184658,0.9777232608634351,0.0022196576464921236,0.12583373486995697
basic_width_latent16_lr0p001,48-24,16,512,0.001,1e-05,45,8,45,45,0.0018049256367329684,0.010990316048264503,0.9883811135794633,0.9707018060293329,0.979461688317361,0.9668527761328709,0.001779833808541298,0.11949345469474792
basic_width_latent16_lr0p0005,48-24,16,512,0.0005,1e-05,45,8,45,45,0.0022935562932323065,0.014557569287717342,0.988453586571819,0.9768662014510571,0.9826257348138472,0.9718720920395906,0.002322571352124214,0.11524010449647903
wider_width_latent8_lr0p001,64-32,8,512,0.001,1e-05,45,8,45,45,0.001444442299489759,0.008585921488702297,0.9884721687716475,0.9784592474589184,0.9834402220733225,0.9731692186222259,0.0014610716607421637,0.10147018730640411
wider_width_latent8_lr0p0005,64-32,8,512,0.0005,1e-05,45,8,45,45,0.0020447311950829833,0.013527508825063705,0.988525560663045,0.9830652283077349,0.9857878332740074,0.9769196063502805,0.002009680261835456,0.12347927689552307
wider_width_latent12_lr0p001,64-32,12,512,0.001,1e-05,45,8,45,45,0.0010689106347760366,0.003962444607168436,0.9885095550285954,0.9816799709095947,0.985082925727392,0.9757916701914672,0.0010804178891703486,0.11529362946748734
wider_width_latent12_lr0p0005,64-32,12,512,0.0005,1e-05,45,8,45,45,0.001890959368216358,0.011486588045954704,0.9884884797456636,0.9798618205745355,0.9841562461955861,0.9743112539830245,0.0018976370338350534,0.11134130507707596
wider_width_latent16_lr0p001,64-32,16,512,0.001,1e-05,45,8,45,45,0.0019892832705577872,0.013254714198410511,0.988566372295574,0.9866149503904694,0.9875896973688771,0.97980994275724,0.001942340051755309,0.11133142560720444
wider_width_latent16_lr0p0005,64-32,16,512,0.0005,1e-05,45,8,45,45,0.0022375262296269074,0.01463482715189457,0.9884420436010313,0.9758792055548822,0.982120451693852,0.971068437526436,0.0022146697156131268,0.10311783850193024
